 ,1.1 Положение о Совете профилактики безнадзорности и правонарушений:,1.2 Положение о постановке обучающихся и семей на внутришкольный учет (ВШУ):,1.3 Положение о разработке и реализации плана индивидуальной профилактической работы,1.4 Положение о Служба школьной медиации (СШМ),1.5 Положение о психолого-педагогическом консилиуме,1.6 Положение о Штабе воспитательной работы (ШВР),1.7 Локальные акты утверждены руководителем ОО и размещены на официальном сайте образовательной организации в соответствии с установленными требованиями законодательства,1.8 Анализ воспитательного процесса включается в календарный план воспитательной работы,1.9 В рабочей программе воспитания профилактическая работа представлена инвариантным модулем «Профилактика и безопасность»,"1.10 В рабочей программе воспитания в разделе «Уклад образовательной организации» приведены дополнительные характеристики анализа контингента обучающихся, их семей, иные его особенности.",1.11 План профилактической работы является:,1.12 Наличие программ и проектов профилактической направленности по:,1.13 Организация деятельности классных руководителей:,1.14 Организация деятельности педагогов-психологов:,1.15 У социального педагога есть перспективный план работы на текущий учебный год:,Сумма 1,2.1 В образовательной организации проводится социально-психологическое тестирование (АИС СПТ):,2.2 В образовательной организации организована работа по прохождению обучающимися профилактического медицинского осмотра (ПМО):,2.3 В образовательной организации создана/работает Служба школьной медиации (СШМ):,Сумма 2,"3.1 Доля обучающиеся, состоящих на различных видах учета:",3.2 Организация индивидуальной профилактической работы,"3.3 Результаты реализации плана ИПР по каждому обучающемуся рассматриваются на Совете профилактики, обучающиеся с суицидальным поведением на ППк.",3.4 Постановка на ВШУ и снятие с учета:,"3.5 На каждого обучающегося, поставленного на ВШУ имеются наблюдательные (накопительные) дела.",3.6 Охват обучающихся программами дополнительного образования:,3.7 Организация летнего отдыха обучающихся:,Сумма 3,4.1 В образовательной организации проведены запланированные профилактические мероприятия с обучающимися.,4.2 Обучающиеся принимают участие в конкурсах социокультурной направленности:,4.3 Обучающиеся принимают участие в мероприятиях профилактической направленности:,"4.4 В образовательной организации проводится фестиваль/конкурс проектных работ, в котором есть направление, касающихся вопросов культуры здорового образа жизни.","4.5 Обучающиеся принимают участие в конкурсах проектных и исследовательских работ с темами, касающимися вопросов культуры здорового образа жизни:",4.6 В планы работы классных руководителей включены:,"4.7 Организация общественно полезной деятельности обучающихся, состоящих на различных видах учета:",4.8 В образовательной организации используются утвержденные нормативным документом психодиагностические методики (на основе региональных и/или федеральных рекомендаций).,Сумма 4,5.1 В образовательной организации проводятся не менее 4 совещаний при директоре по вопросам профилактики негативных проявлений и социальных рисков.,"5.2 В образовательной организации проводится не менее 2 педагогических советов, включающих вопросы профилактики негативных проявлений и социальных рисков.",5.3 В образовательной организации есть график прохождения курсов повышения квалификации педагогов по вопросам воспитания (в том числе по вопросам профилактики правонарушений и негативных явлений).,5.4 С целевыми группами педагогических работников в рамках методической работы проводится не менее 4 обучающих семинары по вопросам профилактики негативных проявлений и социальных рисков.,"5.5 Заместитель директора и осуществляет контроль за организацией профилактической работы в отдельных классах, по отдельным темам, профилактическим неделям.","5.6 В школе ведется системная работа с классными руководителями, в том числе по вопросу организации профилактической работы, проводятся:",5.7 Информационная открытость:,"5.8 Проведение при участии родителей не менее 4 рейдов в места массового скопления молодежи на территории, закрепленной за школой.","5.9 Проведение не менее 4 профилактических мероприятий, проведенных в ОО в межведомственном формате (в течение учебного года)",Сумма 5,Наличие в отчетный период суицидальных попыток среди обучающихся,Наличие в отчетный период среди обучающихся зафиксированных случаев правонарушений,"Наличие выявленных случаев вхождения обучающихся в экстремистские (и иные запрещенные) сообщества, в том числе в социальных сетях, в отчетный период",Общая сумма
35,12,4,4,5,8,5,0,1,4,0,2,2,1,10,7,65,6,3,4,13,1,5,1,3,1,2,5,18,1,2,2,1,2,2,2,1,13,0,1,0,1,1,2,5,1,1,12,,,,121
36,13,5,5,5,8,6,1,1,8,1,2,4,1,2,7,69,6,5,4,15,2,9,1,3,1,2,0,18,1,2,2,1,2,2,1,0,11,1,1,1,0,1,2,5,1,1,13,,,,126
37,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,7,13,2,9,1,3,1,2,5,23,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,144
38,13,5,0,5,8,6,1,1,7,1,2,4,2,11,7,73,6,0,0,6,2,0,0,2,1,2,0,7,1,0,0,0,0,2,0,0,3,1,1,0,0,0,2,6,0,0,10,,,,99
39,13,5,5,5,9,6,1,1,7,1,2,4,2,11,0,72,6,5,6,17,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,141
40,13,0,0,5,0,6,1,1,8,1,2,4,2,11,6,60,6,5,7,18,2,9,1,3,1,1,0,17,1,1,1,1,1,2,2,1,10,1,1,1,1,1,2,6,1,1,15,,,,120
41,12,5,5,5,9,6,1,1,8,1,2,4,2,11,7,79,6,5,7,18,2,0,0,2,0,2,0,6,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,0,13,,,,129
42,13,5,5,5,9,6,1,1,8,1,2,4,2,10,0,72,6,5,6,17,1,0,1,3,1,2,0,8,1,2,2,1,2,2,2,0,12,1,1,1,0,1,2,6,0,0,12,,,,121
43,13,5,5,5,9,6,1,1,8,1,2,4,2,10,0,72,6,1,6,13,2,0,1,3,1,2,6,15,1,2,2,1,2,2,2,1,13,1,1,0,1,1,2,5,0,0,11,,,,124
44,0,5,5,5,9,6,1,1,0,1,2,4,2,10,0,51,6,4,5,15,2,8,1,3,0,2,0,16,1,2,2,1,0,2,0,1,9,1,0,1,0,1,1,0,0,0,4,,,,95
45,13,5,0,5,9,6,1,1,8,1,2,4,2,11,0,68,6,0,5,11,1,0,0,1,0,0,0,2,1,0,0,0,0,2,2,1,6,1,1,1,1,0,2,0,1,0,7,,,,94
46,8,5,0,5,9,5,1,1,1,1,2,2,2,11,0,53,6,5,7,18,0,9,1,2,1,0,0,13,1,0,0,0,0,2,0,1,4,1,1,1,0,0,0,6,0,0,9,,,,97
47,13,5,5,5,9,6,1,1,8,1,2,4,2,11,0,73,6,5,7,18,0,0,0,2,0,0,0,2,1,0,0,1,0,2,2,1,7,1,1,1,1,1,2,6,0,1,14,,,,114
48,0,5,5,4,9,6,1,1,8,1,2,4,2,11,0,59,6,1,7,14,1,0,0,0,0,2,0,3,1,2,2,1,2,2,2,0,12,1,1,1,1,0,2,6,1,1,14,,,,102
49,12,4,5,5,9,5,1,1,7,1,2,4,1,8,0,65,6,4,6,16,2,9,0,2,0,2,5,20,1,2,2,1,2,2,0,1,11,1,1,1,0,0,2,6,0,0,11,,,,123
50,0,4,5,5,8,6,1,1,5,1,2,3,2,9,0,52,0,2,4,6,1,0,1,1,1,2,0,6,1,2,2,0,0,2,0,1,8,1,1,1,1,1,2,6,1,0,14,,,,86
51,12,5,5,5,8,5,1,1,8,1,2,1,2,10,6,72,6,5,7,18,2,0,1,2,1,2,0,8,1,2,2,1,2,2,2,1,13,0,1,1,1,1,2,6,0,1,13,,,,124
52,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,7,13,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,6,1,1,1,1,0,2,6,1,1,14,,,,113
53,13,5,5,5,9,6,1,1,8,1,2,1,2,11,7,77,6,5,5,16,2,0,1,2,1,2,0,8,1,2,2,1,2,2,2,0,12,1,1,1,1,0,2,5,0,1,12,,,,125
54,13,5,5,5,9,6,1,1,7,1,2,4,2,11,0,72,6,1,7,14,2,9,1,2,0,2,0,16,1,2,2,1,2,2,2,1,13,0,1,0,1,1,2,6,0,1,12,,,,127
55,13,0,5,5,8,6,1,1,0,1,2,4,2,10,0,58,6,5,6,17,1,0,1,3,1,2,0,8,1,2,2,1,2,2,2,1,13,1,0,0,0,0,0,6,0,0,7,,,,103
56,13,5,0,5,9,6,1,1,8,1,2,4,2,11,0,68,6,5,7,18,1,0,1,3,1,0,0,6,1,0,0,1,0,2,2,1,7,1,1,1,1,1,2,6,1,1,15,,,,114
57,13,5,0,5,9,6,1,1,8,1,2,4,1,11,0,67,6,3,7,16,1,0,0,2,0,0,0,3,1,0,0,0,0,2,2,0,5,1,1,1,0,0,2,6,0,0,11,,,,102
58,12,4,1,4,0,5,1,1,5,1,2,3,2,7,6,54,6,4,3,13,1,0,0,2,1,0,0,4,1,0,0,1,0,0,0,1,3,0,1,0,0,0,0,5,0,0,6,,,,80
59,12,5,5,5,9,6,1,1,6,1,1,4,1,11,7,75,6,0,5,11,2,0,1,2,1,2,0,8,1,2,2,1,2,2,2,1,13,1,0,1,0,1,2,6,0,1,12,,,,119
60,13,0,5,5,9,6,1,1,8,1,2,4,2,11,7,75,6,5,6,17,2,7,1,3,1,0,0,14,1,0,0,0,0,2,0,1,4,1,1,1,1,1,2,0,0,0,7,,,,117
61,12,0,5,5,9,6,1,1,8,1,1,2,2,10,6,69,6,5,7,18,2,0,1,2,1,0,0,6,1,0,0,1,0,2,2,1,7,1,1,0,1,1,2,6,0,0,12,,,,112
62,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,5,11,2,9,1,2,1,2,0,17,1,2,2,1,0,2,1,1,10,1,1,1,1,1,2,6,0,1,14,,,,132
63,13,5,5,5,9,6,1,0,2,0,2,4,1,11,6,70,6,0,6,12,2,8,1,2,1,0,0,14,1,2,1,1,0,1,2,1,9,1,0,0,0,0,2,5,0,1,9,,,,114
64,13,5,0,5,9,6,1,0,4,0,2,4,1,10,6,66,6,0,6,12,2,9,1,2,1,0,0,15,1,2,0,1,0,2,2,1,9,1,0,0,0,1,2,5,0,1,10,,,,112
65,13,5,5,5,9,6,1,1,6,1,2,3,1,10,5,73,6,5,6,17,2,8,0,2,1,2,0,15,1,0,2,0,0,2,0,0,5,1,1,0,0,0,0,6,0,0,8,,,,118
66,13,5,0,5,9,6,1,1,6,1,2,4,2,10,7,72,6,0,6,12,2,0,1,2,1,2,0,8,1,2,2,0,2,2,2,1,12,1,1,1,1,1,2,6,0,0,13,,,,117
67,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,0,0,0,2,1,0,6,9,0,2,2,1,2,2,2,1,12,0,1,1,1,1,2,0,0,1,7,,,,126
68,13,5,4,4,9,3,1,0,7,1,0,4,2,11,7,71,6,1,3,10,1,9,0,3,0,2,5,20,1,0,0,0,0,2,0,0,3,0,1,0,0,1,1,6,0,0,9,,,,113
69,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,150
70,13,5,5,5,9,6,1,1,8,1,2,4,1,11,7,79,6,5,7,18,2,9,1,3,1,2,0,18,1,2,2,1,0,2,1,1,10,1,1,0,1,1,2,0,1,1,8,,,,133
71,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,149
72,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,3,1,2,0,18,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,0,1,14,,,,141
73,13,5,5,5,9,6,1,1,3,1,2,1,1,8,7,68,6,5,6,17,2,9,0,2,1,2,4,20,1,2,2,1,2,2,1,1,12,0,1,0,0,1,2,6,0,1,11,,,,128
74,13,5,5,5,9,6,1,1,7,1,2,4,2,11,7,79,6,0,7,13,2,9,1,2,0,2,5,21,1,2,2,1,1,2,1,1,11,1,1,1,0,1,2,6,1,1,14,,,,138
75,13,5,5,0,9,6,1,1,6,1,2,4,2,11,7,73,6,5,5,16,1,0,1,3,1,2,0,8,1,2,2,1,0,2,2,0,10,0,0,0,0,1,0,6,1,1,9,,,,116
76,13,5,0,5,9,6,1,1,8,1,2,4,2,10,7,74,6,0,1,7,1,9,1,3,0,0,0,14,1,0,0,0,0,2,0,0,3,1,1,0,0,1,2,0,0,1,6,,,,104
77,12,5,5,0,9,6,1,1,0,0,2,4,2,9,6,62,6,5,1,12,0,0,1,3,1,2,0,7,1,0,0,0,2,2,2,1,8,1,1,1,1,1,2,0,0,1,8,,,,97
78,12,5,5,0,9,6,1,1,8,1,2,4,2,11,7,74,6,5,0,11,2,0,1,3,0,2,5,13,1,2,2,1,2,2,2,0,12,1,1,1,0,1,2,6,1,1,14,,,,124
79,13,5,5,5,9,6,1,1,4,1,2,4,1,10,7,74,5,0,0,5,2,9,1,3,1,2,0,18,1,2,2,0,0,2,0,1,8,1,1,0,0,1,2,0,1,1,7,,,,112
80,13,5,5,0,9,6,1,1,8,1,2,4,2,11,7,75,6,5,7,18,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,145
81,13,5,5,5,9,6,1,1,6,1,2,3,2,10,6,75,6,5,1,12,2,0,0,2,1,2,0,7,1,2,2,1,1,2,2,0,11,1,1,1,0,1,1,0,1,1,7,,,,112
82,13,5,0,0,0,6,1,1,6,1,2,4,2,10,7,58,6,5,7,18,2,9,1,3,1,2,6,24,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,1,1,15,,,,127
83,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,7,13,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,145
84,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,4,7,17,2,0,1,3,1,2,0,9,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,1,1,15,,,,133
85,12,5,5,0,0,6,1,1,8,1,2,4,1,0,7,53,6,5,0,11,1,9,1,3,1,2,6,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,0,0,9,,,,96
86,13,5,5,5,9,6,1,1,8,1,2,4,2,11,0,73,6,5,5,16,2,0,1,3,1,2,0,9,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,126
